State,Alzheimer's,Heart,Heart PC,Cancer,Cancer PC,Stroke,Stroke PC,Respiratory,Respiratory PC,Median AQI,Hospitals,Insurance Firms,Firms PC,Unemp rate,Uninsured,Fast Food Centers,Population,Region
South Dakota,444,1710,1928.570704,1715,1934.209799,414,466.9171177,505,569.5486581,31.6,24,1221,1377.067151,3.1,77,105,886667,West North Central
Tennessee,3522,16019,2317.952666,14302,2069.502405,3519,509.2000394,4657,673.8688785,36.82608696,98,4510,652.5979476,3.7,629,245,6910840,East South Central
Texas,9545,45346,1555.848835,40668,1395.34381,10790,370.2114614,10650,365.4079763,32.87755102,369,20258,695.0642989,4.3,4817,630,29145505,West South Central
Utah,991,3749,1169.385251,3161,985.9767346,888,276.9842899,826,257.6452967,44.21428571,36,3410,1063.644627,3.1,282,159,3205958,Mountain
Vermont,370,1332,2071.291618,1434,2229.904039,249,387.2009106,375,583.1339015,29.25,7,475,738.6362753,3,28,43,643077,New England
Virginia,2549,14861,1721.73831,15064,1745.25711,3555,411.8686289,3363,389.6242472,29.74285714,91,5526,640.2211092,3.7,729,327,8631393,South Atlantic
Washington,3710,11582,1503.124935,12664,1643.548107,3028,392.9772321,3177,412.314619,26.96666667,60,5068,657.7307174,4.6,446,208,7705281,Pacific
West Virginia,770,4849,2703.326502,4654,2594.61364,1058,589.8369642,1681,937.1606207,31.5,33,1109,618.2695588,5.2,109,93,1793716,South Atlantic
Wisconsin,2428,11860,2012.312092,11318,1920.349769,2513,426.3861963,2834,480.8509671,35.67857143,82,4597,779.983026,3.3,309,186,5893718,East North Central
Wyoming,212,1001,1735.283461,948,1643.405316,190,329.3744832,366,634.4792676,38.47058824,14,662,1147.610041,4.3,70,41,576851,Mountain
